is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Month,Year,Amount_in_Accommodation,Extra_out_Accommodation,Total_Expenditure,Per_Day_Expenditure
0.37969786293294033,85.8472733971997,0.02929255711127487,0.07977155490051584,0.16028002947678702,0.20117907148120856,0.8638540899042004,2.3340088430361092,1.8411938098747236,0.08345615327929255,0.004421518054532056,88.91892041267502,0.05876934414148858,April,2016,304.45,293.73,611.37,71.93
0.4350821409644939,103.42907613495849,0.021904257198374844,0.00688924218335983,0.09839251015721603,0.24924924924924924,1.03003003003003,2.49885179296944,1.90990990990991,0.12153329800388624,0.005122769828652182,111.37090266737326,0.055467231937820174,April,2017,357.64,286.95,662.06,75.23
0.4109025456415531,99.39238878889175,0.02134224736436102,0.2108511185394703,0.007971200822833634,0.18410902545641553,1.0491128824890716,2.654152738493186,1.9400874260735408,0.11016731016731017,0.01722807919773721,105.92288763178195,0.06376960658266907,August,2015,511.93,386.77,914.02,87.47
0.360458226348015,121.6340114556587,0.0075054315623148335,0.015603397195338733,0.04048982816511949,0.25696227533083155,1.0493778392257556,2.8599644479557575,2.04444005530318,0.23069326486272962,0.015998419909144777,142.89359470669564,0.08907762196326288,August,2016,475.42,361.93,855.14,81.44
0.3687309644670051,137.79857868020304,0.020710659898477157,0.009949238578680204,0.10923857868020305,0.3364467005076142,1.0808121827411168,2.9561421319796954,2.00994923857868,0.24040609137055838,0.009746192893401015,164.2483695431472,0.061116751269035534,August,2017,437.55,352.98,809.01,78.54
0.33321917808219176,52.38630136986301,0.038356164383561646,0.17842465753424658,0.07773972602739726,0.17328767123287672,0.85,2.188698630136986,1.7835616438356163,0.07397260273972603,0.015753424657534248,74.07924315068493,0.07910958904109588,December,2015,266.24,396.42,671.25,59.04
0.3621761658031088,89.579792746114,0.05233160621761658,0.02849740932642487,0.266580310880829,0.2823834196891192,0.8764248704663212,2.4852331606217617,1.8585492227979274,0.13471502590673576,0.008290155440414507,86.37024611398964,0.07020725388601036,December,2016,247.47,317.51,578.91,59.07
0.34361346697507067,38.84117193523516,0.052428681572860444,0.1439218709843228,0.17733230531996916,0.1739912618864045,0.818041634541249,2.0588537650989465,1.7645849396042148,0.08275507581598561,0.006939090208172706,70.10226933950142,0.06861989205859677,February,2016,250.75,311.74,570.45,64.82
0.3253531242518554,56.26047402441944,0.04955709839597797,0.011252094804883888,0.17644242279147715,0.20852286329901842,0.8858032080440508,2.288963370840316,1.8156571702178597,0.1120421355039502,0.007661000718218817,76.82400526693799,0.057936317931529806,February,2017,244.39,309.04,566.79,67.48
0.24777580071174377,32.52313167259786,0.06895017793594306,0.19795373665480426,0.24377224199288255,0.24777580071174377,0.7108540925266904,2.0298042704626336,1.6441281138790036,0.051601423487544484,0.010231316725978648,64.76765569395018,0.09297153024911033,January,2016,217.87,372.39,598.39,60.26
0.3395816354251562,53.11898940505297,0.06574300461831024,0.023091551208910623,0.3420266232002173,0.24775876120619397,0.8212442271121978,2.291225210540614,1.7190980711763109,0.09127954360228199,0.006791632708503124,73.777264330345,0.07660961695191525,January,2017,213.38,339.64,565.48,60.16
0.4535302593659942,125.967939481268,0.040345821325648415,0.4823487031700288,0.010086455331412104,0.14625360230547552,1.0785302593659942,2.7896253602305476,1.9535302593659942,0.09582132564841499,0.009365994236311239,97.83431556195966,0.07780979827089338,July,2015,446.11,363.72,825.37,80.92
0.3278652668416448,123.2594050743657,0.01706036745406824,0.013560804899387576,0.14610673665791776,0.21719160104986876,1.115923009623797,2.8361767279090113,1.9943132108486439,0.2020997375328084,0.012904636920384951,125.48453630796152,0.08223972003499562,July,2016,464.81,349.58,834.25,86.01
0.37342367777150387,152.97402597402598,0.020892151326933936,0.014116318464144552,0.17014869188782233,0.2554112554112554,1.1458686241294938,2.787502352719744,1.9994353472614341,0.21306230001882176,0.006775832862789385,143.03776962168268,0.05213626952757387,July,2017,429.13,353.95,801.63,80.97
0.3960695389266818,119.82350718065004,0.021541950113378686,0.02891156462585034,0.1345427059712774,0.18442932728647016,0.8458049886621315,2.573507180650038,1.8210506424792139,0.07993197278911565,0.007747543461829176,106.9773148148148,0.059334845049130766,June,2016,395.63,314.46,728.53,78.34
0.4319107490703028,136.14149105719852,0.02975030989906145,0.01469806977156012,0.17549141136886842,0.19957499557287056,0.9902603152116168,2.732247210908447,1.897644767132991,0.11227200283336285,0.005312555339118116,125.75759872498672,0.052240127501328136,June,2017,385.71,332.64,734.89,79.02
0.3061774461028192,57.32607794361526,0.03980099502487562,0.046849087893864015,0.18511608623548922,0.22263681592039802,0.8219320066334992,2.41044776119403,1.8208955223880596,0.09183250414593698,0.007048092868988391,79.06932628524046,0.0740049751243781,March,2016,269.78,309.03,590.39,64.17
0.3364185110663984,82.53661971830986,0.047082494969818915,0.008048289738430584,0.18370221327967806,0.2211267605633803,0.8943661971830986,2.7064386317907445,1.788933601609658,0.0517102615694165,0.004627766599597585,82.24265995975856,0.04949698189134809,March,2017,287.07,310.93,611.41,69.48
0.34958013873676524,114.67433369843009,0.029755385177071925,0.027564804673238408,0.14056224899598393,0.22873311427528295,0.8497626871120847,2.358707557502738,1.8221978824388463,0.07411464037970063,0.005841548010222709,96.39928623585251,0.06097115735669952,May,2016,368.04,287.23,670.64,74.52
0.4375099002059243,120.22493267859971,0.032155868842071916,0.010296214161254555,0.16806589577063202,0.20719150958339932,0.8869000475209884,2.44875653413591,1.8306668778710598,0.06953904641216538,0.006336131791541264,119.36536353556154,0.04435292254078885,May,2017,362.44,315.57,696.08,79.1
0.2076923076923077,48.09188034188034,0.03803418803418803,0.07905982905982906,0.08974358974358974,0.3371794871794872,0.7606837606837606,2.51025641025641,1.587179487179487,0.03076923076923077,0.008974358974358974,60.580252136752144,0.08205128205128205,November,2015,380.22,365.68,757.45,73.47
0.3673102828917827,91.54804669959587,0.04580152671755725,0.017512348450830714,0.19622810956443645,0.20229007633587787,0.7979344409519533,2.348226313426134,1.745397395599461,0.04647507858105074,0.005388414907947912,80.73757970363718,0.05949708127525819,November,2016,340.55,317.22,674.46,71.0
0.34940488198507164,102.39398829937463,0.03046197296752068,0.32519669154730685,0.02743594916280008,0.1396005648577769,0.853540447851523,2.2029453298365946,1.7873713939882994,0.03873310470042364,0.0064555174500706075,78.89542666935647,0.05043373007867662,October,2015,480.98,340.31,835.18,85.75
0.40528776398516847,139.45719812993713,0.026116395292600354,0.017088505561824924,0.11816862808318555,0.2519748508786071,0.9287441560535225,2.252942124778333,1.840883443495083,0.0823794937933258,0.004836369498629695,95.11179429308399,0.06126068031597614,October,2016,413.98,312.76,744.73,80.95
0.409464215877982,123.13824794681267,0.01838091513492374,0.5715682440359796,0.01368791552600704,0.1562377786468518,0.9548298787641768,2.519945248337896,1.8599921783339852,0.03578412201798983,0.006061791161517403,94.81866249511147,0.04204145482987876,September,2015,492.23,382.32,889.81,88.71
0.37486095661846497,149.50945494994437,0.019836855765665556,0.02131998516870597,0.13236929922135707,0.23600296625880607,0.9299221357063404,2.528550241008528,1.885242862439748,0.07693733778272155,0.010381905821282907,114.74956618464962,0.061549870226177236,September,2016,428.12,351.89,800.22,82.5
