iso_code,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,Aruba,North America,415183.31,2724.053,,,,7.443,,79.19,38.320210237659964,584.8,41.2,13.085,11.62,,,,,76.29,
AFG,Afghanistan,Asia,5399.48,192.517,1.0485247524752475,,,24.811,0.5184,36.88,27.444661791590494,54.422,18.6,2.581,9.59,,,37.746,0.5,64.83,0.511
AGO,Angola,Africa,2961.14,54.343,0.7706837606837607,,,46.91,0.1635,24.79,51.716106032906765,23.89,16.8,2.405,3.94,,,26.664,,61.15,0.581
AIA,Anguilla,North America,245890.282,755.81,,,,3261.728,0.1615,65.38,,,,,,,,,,81.88,
ALB,Albania,Europe,117541.387,1267.979,1.0285714285714285,,,565.336,0.9666,44.96,41.85849177330896,104.871,38.0,13.188,10.08,7.1,51.2,,2.89,78.57,0.795
AND,Andorra,Europe,601367.684,1991.408,0.8726870078740158,,,3799.719,0.9515,67.0,33.54798903107861,163.755,,,7.97,29.0,37.8,,,83.73,0.8680000000000001
ARE,United Arab Emirates,Asia,113019.214,248.805,1.0204705882352942,,,17994.67,0.0241,103.72,44.317294332723954,112.442,34.0,1.144,17.26,1.2,37.4,,1.2,77.97,0.89
ARG,Argentina,South America,220718.205,2866.866,0.969852652259332,175.103,,809.775,0.662,76.64,52.42913321167883,16.177,31.9,11.198,5.5,16.2,27.7,,5.0,76.67,0.8449999999999999
ARM,Armenia,Asia,161556.383,3146.948,0.8804710500490678,,,1111.536,0.478,35.83,,102.931,35.7,11.232,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ASM,American Samoa,Oceania,188079.919,767.581,,,,,,,,278.205,,,,,,,,73.74,
ATG,Antigua and Barbuda,North America,97107.879,1556.968,0.6426844014510278,,,179.146,0.6099,66.53,,231.845,32.1,6.933,13.17,,,,3.7999999999999994,77.02,0.778
AUS,Australia,Oceania,436255.497,804.625,1.0954961089494164,16.197,212.817,2830.525,0.5793,82.7,47.28330895795247,3.202,37.9,15.504,5.07,13.0,16.5,,3.8399999999999994,83.44,0.944
AUT,Austria,Europe,679902.73,2518.452,1.063920233463035,79.31,524.519,21272.133,0.0892,74.76,49.232961608775135,106.749,44.4,19.202,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Azerbaijan,Asia,80310.459,992.172,0.9759881422924902,,,673.696,0.389,46.94,60.101224862888486,119.309,32.4,6.018,7.11,0.3,42.5,83.241,4.7,73.0,0.756
BDI,Burundi,Africa,4170.965,1.164,0.8606774193548387,,,128.377,0.0888,0.28,15.87892138939671,423.062,17.5,2.562,6.05,,,6.144,0.8,61.58,0.433
BEL,Belgium,Europe,411787.381,2947.0,1.1231395348837208,126.459,640.104,2955.332,0.464,78.66,39.11867458866545,375.564,41.8,18.571,4.29,25.1,31.4,,5.64,81.63,0.931
BEN,Benin,Africa,2097.977,12.207,0.4830721649484536,,,46.496,,20.54,32.233263254113346,99.11,18.8,3.244,0.99,0.6,12.3,11.035,0.5,61.77,0.545
BES,Bonaire Sint Eustatius and Saba,North America,440669.821,1515.6,,,,,,61.87,,,,,,,,,,77.79,
BFA,Burkina Faso,Africa,972.754,17.465,0.6016370808678502,,,14.695,0.438,18.21,20.532376599634368,70.151,17.6,2.409,2.42,1.6,23.9,11.877,0.4,61.58,0.452
BGD,Bangladesh,Asia,11916.317,172.041,1.0153846153846153,,,81.608,0.3209,82.09,50.06475319926874,1265.036,27.5,5.098,8.38,1.0,44.7,34.808,0.8,72.59,0.632
BGR,Bulgaria,Europe,192853.83,5661.642,1.037023575638507,117.813,1526.846,1463.898,0.4061,30.64,36.233692870201104,65.18,44.7,20.801,5.81,30.1,44.4,,7.454,75.05,0.816
BHR,Bahrain,Asia,473167.024,1043.31,1.0214396887159534,,,6812.903,0.2895,83.33,37.86212065813528,1935.907,32.4,2.372,16.52,5.8,37.6,,2.0,77.29,0.852
BHS,Bahamas,North America,92890.297,2058.592,0.9666561844863732,,,591.313,0.4876,40.73,52.39060329067642,39.497,34.3,8.996,13.17,3.1,20.4,,2.9,73.92,0.814
BIH,Bosnia and Herzegovina,Europe,124630.976,5055.466,1.0568307086614173,,,458.37,0.7422,26.17,38.753427787934186,68.496,42.5,16.569,10.08,30.2,47.7,97.164,3.5,77.4,0.78
BLM,Saint Barthelemy,North America,499727.124,454.794,,,,,,,,,,,,,,,,,
BLR,Belarus,Europe,104251.871,746.516,0.7931349206349206,,,1380.273,0.3182,66.64,23.40146252285192,46.858,40.3,14.799,5.18,10.5,46.1,,11.0,74.79,0.823
BLZ,Belize,North America,174647.47,1697.571,0.9534470989761092,,,1432.139,0.3094,54.63,48.10408592321755,16.426,25.0,3.853,17.11,,,90.083,1.3,74.62,0.716
BMU,Bermuda,North America,293737.443,2569.813,,,,653.221,0.0872,74.22,39.474579524680074,1308.82,,,13.0,,,,,82.59,
BOL,Bolivia,South America,98141.591,1831.135,1.0801588877855015,19.224,199.033,367.596,0.6329,50.4,42.370237659963436,10.202,25.4,6.704,6.89,,,25.383,1.1,71.51,0.718
BRA,Brazil,South America,174634.922,3264.575,1.0905560975609756,,,330.912,,81.82,48.63132541133455,25.04,33.5,8.552,8.11,10.1,17.9,,2.2,75.88,0.765
BRB,Barbados,North America,382728.674,2105.48,0.8921325966850828,,,2480.356,0.3745,55.05,47.930703839122486,664.463,39.8,14.952,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BRN,Brunei,Asia,685266.435,358.573,0.6271794871794872,,,209.245,,99.47,39.56822669104205,81.347,32.4,4.591,12.79,2.0,30.9,,2.7,75.86,0.838
BTN,Bhutan,Asia,80096.414,26.839,0.801354401805869,,,2201.543,0.0454,86.61,50.7763071297989,21.188,28.600000000000005,4.885,9.75,,,79.807,1.7000000000000002,71.78,0.654
BWA,Botswana,Africa,125437.403,1063.377,0.7944601962922574,,,882.839,0.8919,63.24,36.54747714808044,4.044,25.8,3.941,4.81,5.7,34.4,,1.7999999999999998,69.59,0.735
CAF,Central African Republic,Africa,2754.363,20.254,0.37067079463364294,,,17.364,0.6184,40.63,23.94717550274223,7.479,18.3,3.655,6.1,,,16.603,1.0,53.28,0.397
CAN,Canada,North America,121735.504,1369.027,1.052,36.069,286.626,1629.606,0.5287,82.6,50.403199268738575,4.037,41.4,16.984,7.37,12.0,16.6,,2.5,82.43,0.9289999999999999
CHE,Switzerland,Europe,504084.391,1603.689,1.1095353339787029,61.095,425.149,2448.135,0.522,,36.42452468007313,214.243,43.1,18.436,5.59,22.6,28.9,,4.53,83.78,0.9549999999999998
CHL,Chile,South America,269723.893,3290.036,1.0455522971652003,173.742,,2040.365,0.3626,90.29,51.48086837294333,24.282,35.4,11.087,8.46,34.2,41.5,,2.11,80.18,0.851
CHN,China,Asia,69622.096,85.025,1.0477509293680298,,,6461.913,0.0016,89.54,73.447239488117,147.674,38.7,10.641,9.74,1.9,48.4,,4.34,76.91,0.761
CIV,Cote d'Ivoire,Africa,3136.693,29.651,1.0310781404549951,,,56.075,0.2951,43.2,24.92187385740402,76.399,18.7,2.933,2.42,,,19.351,,57.78,0.538
CMR,Cameroon,Africa,4479.242,70.644,0.4876709613478692,,,100.416,0.0456,11.13,31.599478976234007,50.885,18.8,3.165,7.2,,,2.735,1.3,59.29,0.563
COD,Democratic Republic of Congo,Africa,978.586,14.817,0.8678330019880716,,,10.899,0.3693,13.0,37.50040219378428,35.879,17.0,3.02,6.1,,,4.472,,60.68,0.4799999999999999
COG,Congo,Africa,4220.132,65.154,0.4533568548387097,,,67.692,0.0,10.96,43.61063071297989,15.405,19.0,3.402,7.2,1.7,52.3,47.964,,64.57,0.574
COK,Cook Islands,Oceania,418506.341,117.426,,,,,,86.47,,,,,,,,,,76.25,
COL,Colombia,South America,122776.932,2752.148,0.9652254901960784,,,684.075,0.416,71.36,50.75776965265082,44.223,32.2,7.646,7.44,4.7,13.5,65.386,1.71,77.29,0.767
COM,Comoros,Africa,10885.737,192.404,0.6809292502639915,,,122.062,0.0025,47.45,,437.352,20.4,2.963,11.88,4.4,23.6,15.574,2.2,64.32,0.554
CPV,Cape Verde,Africa,107815.403,697.954,0.9817838939857289,,,,0.216,52.05,48.24540219378428,135.58,25.7,4.46,2.42,2.1,16.5,,2.1,72.98,0.665
CRI,Costa Rica,North America,238085.514,1810.326,0.9221533923303835,,,713.534,0.427,84.13,43.38625228519195,96.079,33.6,9.468,8.78,6.4,17.4,83.841,1.13,80.28,0.81
CUB,Cuba,North America,99383.636,760.779,1.0188415841584157,,,470.557,0.0879,89.36,48.10032906764168,110.408,43.1,14.738,8.27,17.1,53.3,85.198,5.2,78.8,0.783
CUW,Curacao,North America,239662.505,1579.721,,,,116.109,1.0,52.77,,362.644,41.7,16.367,11.62,,,,,78.88,
CYM,Cayman Islands,North America,457961.061,538.401,,,,137.343,0.348,88.27,,256.496,,,13.22,,,,,83.92,
CYP,Cyprus,Europe,737554.506,1522.31,1.0098816568047337,63.616,335.935,32925.826,0.0606,72.11,45.17851005484461,127.657,37.3,13.416,9.24,19.6,52.7,,3.4000000000000004,80.98,0.8870000000000001
CZE,Czechia,Europe,442375.207,4078.906,1.0416,180.675,910.235,5193.488,0.321,65.69,39.559396709323586,137.176,43.3,19.027,6.82,30.5,38.3,,6.63,79.38,0.8999999999999999
DEU,Germany,Europe,460957.128,2092.028,1.0975409836065575,69.102,,1574.021,0.556,76.24,44.12263254113345,237.016,46.6,21.453,8.31,28.2,33.1,,8.0,81.33,0.947
DJI,Djibouti,Africa,13998.292,168.622,0.7121821821821822,,,280.159,0.0503,31.38,39.91341864716636,41.285,25.4,4.213,6.05,1.7,24.5,,1.4,67.11,0.524
DMA,Dominica,North America,216608.483,1017.07,0.4243801652892562,,,2836.077,0.3853,42.14,39.91393053016453,98.567,,,11.62,,,,3.7999999999999994,75.0,0.742
DNK,Denmark,Europe,580366.828,1482.254,1.0538424124513617,26.01,299.545,11043.263,0.3399,80.52,35.37646252285192,136.52,42.3,19.677,6.41,19.3,18.8,,2.5,80.9,0.94
DOM,Dominican Republic,North America,58882.05,390.424,0.9787217305801377,,,309.794,0.7947,54.29,45.12400365630713,222.873,27.600000000000005,6.981,8.2,8.5,19.1,55.182,1.6,74.08,0.756
DZA,Algeria,Africa,6053.93,153.241,1.0034513274336283,1.492,,5.219,,14.43,48.45615173674589,17.348,29.100000000000005,6.211,6.73,0.7,30.4,83.741,1.8999999999999997,76.88,0.748
ECU,Ecuador,South America,59011.993,2000.944,0.998343137254902,,,161.295,0.673,79.11,47.826535648994515,66.939,28.100000000000005,7.104,5.55,2.0,12.3,80.635,1.5,77.01,0.759
EGY,Egypt,Africa,4649.271,223.714,0.757158203125,,,109.415,0.9089,38.15,43.35214808043876,97.999,25.3,5.159,17.31,0.2,50.1,89.827,1.6,71.99,0.707
ERI,Eritrea,Africa,2765.713,27.958,0.7646938775510205,,,6.544,,,0.0,44.304,19.3,3.607,6.05,0.2,11.4,,0.7,66.32,0.459
ESH,Western Sahara,Africa,,,,,,6.972,,,,,28.4,,,,,,,70.26,
ESP,Spain,Europe,292072.215,2552.975,1.1482722007722006,102.905,568.33,1961.848,0.434,85.66,45.04116087751371,93.105,45.5,19.436,7.17,27.4,31.4,,2.97,83.56,0.904
EST,Estonia,Europe,466816.835,2263.088,1.0594921875,52.788,552.764,2577.757,0.616,64.98,32.07683729433272,31.033,42.7,19.452,4.02,24.5,39.3,,4.69,78.74,0.8920000000000001
ETH,Ethiopia,Africa,4059.866,61.388,1.0316986855409505,,,41.774,0.4553,30.51,45.119707495429616,104.957,19.8,3.526,7.47,0.4,8.5,7.96,0.3,66.6,0.48500000000000004
FIN,Finland,Europe,267178.872,1759.691,1.0193865628042844,14.98,196.544,1994.022,0.509,78.47,32.57875685557587,18.136,42.8,21.228,5.76,18.3,22.6,,3.28,81.91,0.938
FJI,Fiji,Oceania,74127.014,949.698,0.9583116883116884,,,604.059,,68.96,54.12250457038391,49.562,28.600000000000005,6.224,14.49,10.2,34.8,,2.3,67.44,0.743
FLK,Falkland Islands,South America,505919.495,,,,,,,46.7,,,,,,,,,,81.44,
FRA,France,Europe,604292.946,2532.702,1.0890173410404624,103.505,493.504,4126.754,0.309,78.44,42.349826325411335,122.578,42.0,19.718,4.77,30.1,35.6,,5.98,82.66,0.9010000000000001
FRO,Faeroe Islands,Europe,652484.139,527.138,,,,14707.401,0.6621,76.99,27.61553016453382,35.308,,,,,,,,80.67,
FSM,Micronesia (country),Oceania,231725.902,569.287,0.46189024390243905,,,,,,,150.777,23.0,4.81,12.02,,,,,67.88,0.62
GAB,Gabon,Africa,20507.351,128.506,0.8080808080808081,,,683.374,0.6613,10.78,47.54945155393053,7.859,23.1,4.45,7.2,,,,6.3,66.47,0.703
GBR,United Kingdom,Europe,364675.693,3357.259,1.0565444015444014,60.392,581.523,7480.121,0.2983,75.19,43.14760511882998,272.898,40.8,18.517,4.28,20.0,24.7,,2.54,81.32,0.932
GEO,Georgia,Asia,492392.476,4563.366,0.8107936507936507,,,3632.937,0.9374,34.08,43.59658135283364,65.032,38.7,14.864,7.11,5.3,55.5,,2.6,73.77,0.812
GGY,Guernsey,Europe,557817.114,1057.967,,,,,,83.23,,,,,,,,,,,
GHA,Ghana,Africa,5127.664,43.673,0.9509683794466404,,,75.084,0.4347,30.38,42.65925959780622,126.719,21.1,3.385,4.97,0.3,7.7,41.047,0.8999999999999999,64.07,0.611
GIB,Gibraltar,Europe,628882.7,3458.09,,,,16322.865,0.1481,126.89,,3457.1,,,,,,,,79.93,
GIN,Guinea,Africa,2782.454,33.768,0.735234297108674,,,52.351,0.0549,34.1,52.85707495429616,51.755,19.0,3.135,2.42,,,17.45,0.3,61.6,0.477
GLP,Guadeloupe,North America,512520.151,2569.726,,,,,,,,,43.4,,,,,,,82.14,
GMB,Gambia,Africa,4665.936,137.473,0.5553683035714286,,,58.974,0.6593,19.93,32.94376599634369,207.566,17.5,2.339,1.91,0.7,31.2,7.876,1.1,62.05,0.496
GNB,Guinea-Bissau,Africa,4565.963,84.062,0.5777505112474437,,,69.368,0.0445,25.35,,66.191,19.4,3.002,2.42,,,6.403,,58.32,0.4799999999999999
GNQ,Equatorial Guinea,Africa,10227.379,109.259,0.6544252288911495,,,296.46,0.3404,12.78,,45.194,22.4,2.846,7.78,,,24.64,2.1,58.74,0.592
GRC,Greece,Europe,586094.984,3564.189,1.0374634146341464,,,8088.12,0.1054,73.62,52.64063071297989,83.479,45.3,20.396,4.55,35.3,52.0,,4.21,82.24,0.888
GRD,Grenada,North America,156967.615,1897.034,0.55721399730821,,,1357.796,0.2687,31.11,,317.132,29.399999999999995,7.304,10.71,,,,3.7000000000000006,72.4,0.779
GRL,Greenland,North America,211898.609,371.721,,,,,,68.17,30.796901279707495,0.137,,,2.16,,,,,71.7,
GTM,Guatemala,North America,70235.656,1132.151,1.0629689067201604,,,231.012,0.513,39.94,53.555274223034736,157.834,22.9,4.694,10.18,,,76.665,0.6,74.3,0.663
GUF,French Guiana,South America,321901.841,1356.019,,,,,,,,,25.3,,,,,,,79.95,
GUM,Guam,Oceania,300221.791,2404.196,,,,1897.076,0.583,,0.0,304.128,31.399999999999995,9.551,21.52,,,,,80.07,
GUY,Guyana,South America,90583.102,1604.992,1.01770423991727,,,550.228,0.3698,47.23,52.29457038391225,3.952,26.299999999999997,5.305,11.62,,,77.159,1.6,69.91,0.682
HKG,Hong Kong,Asia,,,,,,6594.993,0.2308,90.8,59.16669793621013,7039.714,44.8,16.303,8.33,,,,,84.86,0.9490000000000001
HND,Honduras,North America,45301.01,1065.48,0.9229633300297324,,,,,56.11,62.96259597806216,82.805,24.9,4.652,7.21,2.0,,84.169,0.7,75.27,0.634
HRV,Croatia,Europe,316068.709,4532.1,1.0473110893032385,,738.395,1212.45,0.529,55.87,33.4650731261426,73.726,44.0,19.724,5.59,34.3,39.9,,5.54,78.49,0.851
HTI,Haiti,North America,2955.632,74.234,0.9222554067971164,,,18.047,0.424,3.02,44.23063071297989,398.448,24.3,4.8,6.65,2.9,23.1,22.863,0.7,64.0,0.51
HUN,Hungary,Europe,221011.319,4894.904,1.0798131760078664,,,1127.081,0.4236,62.28,36.609698354661795,108.043,43.4,18.577,7.55,26.8,34.8,,7.02,76.88,0.8540000000000001
IDN,Indonesia,Asia,24715.415,587.307,1.0380547409579668,,,217.363,0.3054,62.68,54.55830895795247,145.725,29.299999999999997,5.319,6.32,2.8,76.1,64.204,1.04,71.72,0.718
IMN,Isle of Man,Europe,449617.905,1372.229,,,,,,79.38,,147.872,,,,,,,,81.4,
IND,India,Asia,31747.624,375.313,1.035478515625,,,609.938,0.2268,67.17,57.97097806215722,450.419,28.200000000000003,5.989,10.39,1.9,20.6,59.55,0.53,69.66,0.645
IRL,Ireland,Europe,340955.042,1787.539,1.05501953125,43.001,386.414,2476.135,0.51,80.88,42.62072212065814,69.874,38.7,13.928,3.28,23.0,25.7,,2.96,82.3,0.9549999999999998
IRN,Iran,Asia,85961.402,1651.791,1.0218731988472622,,,594.485,0.5375,66.13,59.445210237659964,49.831,32.4,5.44,9.59,0.8,21.1,,1.5,76.68,0.783
IRQ,Iraq,Asia,55410.332,570.274,0.9739707317073171,,,436.507,0.2751,17.85,58.4872029250457,88.125,20.0,3.186,8.83,,,94.576,1.4,70.6,0.674
ISL,Iceland,Europe,560979.665,697.232,0.9515399610136452,,,3709.574,,77.82,30.66988117001828,3.404,37.3,14.431,5.31,14.3,15.2,,2.91,82.99,0.949
ISR,Israel,Asia,510824.426,1327.125,1.0573268292682927,44.449,393.057,5573.137,0.333,65.19,43.36253199268739,402.606,30.600000000000005,11.733,6.74,15.4,35.4,,2.99,82.97,0.9189999999999999
ITA,Italy,Europe,438210.379,3227.052,1.0682854406130269,68.905,652.247,3795.998,0.2684,81.25,52.37960694698355,205.859,47.9,23.021,4.78,19.8,27.8,,3.18,83.51,0.8920000000000001
JAM,Jamaica,North America,54830.228,1255.578,0.9596068548387097,,,397.603,0.4219,26.85,54.07849177330896,266.879,31.399999999999995,9.684,11.28,5.3,28.6,66.425,1.7000000000000002,74.47,0.734
JEY,Jersey,Europe,599218.383,1453.121,,,,,,73.9,,,,,,,,,,,
JOR,Jordan,Asia,154794.998,1251.299,0.8180905511811023,,,1507.249,0.5815,40.39,41.33564899451554,109.285,23.2,3.81,11.75,,,,1.4,74.53,0.729
JPN,Japan,Asia,272715.688,602.606,1.077189292543021,24.477,358.672,429.37,0.4913,83.4,40.43196526508227,347.778,48.2,27.049,5.72,11.2,33.7,,13.05,84.63,0.9189999999999999
KAZ,Kazakhstan,Asia,77474.851,983.194,0.9531521739130435,,,623.295,0.2281,54.79,51.334972577696526,6.681,30.600000000000005,6.991,7.11,7.0,43.1,98.999,6.699999999999999,73.6,0.8249999999999998
KEN,Kenya,Africa,6354.395,105.28,1.0176318407960199,,,70.335,0.3541,20.53,51.64378427787934,87.324,20.0,2.686,2.92,1.2,20.4,24.651,1.4,66.7,0.601
KGZ,Kyrgyzstan,Asia,31202.206,451.089,0.8819563058589871,,,,,20.94,46.101654478976236,32.333,26.299999999999997,4.489,7.11,3.6,50.5,89.22,4.5,71.45,0.697
KHM,Cambodia,Asia,8277.924,182.254,0.7957383548067394,,,179.493,0.2509,87.43,45.20405850091407,90.672,25.6,4.412,4.0,2.0,33.7,66.229,0.8,69.82,0.594
KIR,Kiribati,Oceania,38380.944,182.875,0.25252199413489734,,,,,62.08,25.239707495429613,143.701,23.2,3.895,22.66,35.9,58.9,,1.8999999999999997,68.37,0.63
KNA,Saint Kitts and Nevis,North America,138461.861,964.745,0.7914762741652022,,,1983.784,0.5732,56.63,,212.865,,,12.84,,,,2.3,76.23,0.779
KOR,South Korea,Asia,613377.987,671.899,1.0726456542502387,25.378,440.213,1934.578,0.6691,85.64,40.825539305301646,527.967,43.4,13.914,6.8,6.2,40.9,,12.27,83.03,0.916
KWT,Kuwait,Asia,155999.012,602.031,0.92193359375,,,1931.449,0.2627,78.38,48.63106946983547,232.128,33.7,2.345,15.84,2.7,37.0,,2.0,75.49,0.806
LAO,Laos,Asia,28988.069,89.116,1.0274313408723748,,,138.751,0.9293,69.36,46.22556672760511,29.715,24.4,4.029,4.0,7.3,51.2,49.839,1.5,67.92,0.613
LBN,Lebanon,Asia,225430.548,1988.071,1.0380254154447703,,,846.002,,43.98,51.95795246800731,594.561,31.100000000000005,8.514,12.71,26.9,40.7,,2.9,78.93,0.744
