country,country,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr
ABW,ABW,1.0,2.5,2.5,0.0,0.0,128.34
AGO,AGO,2.2845303867403315,5.831491712707182,1.574585635359116,0.212707182320442,0.013812154696132596,117.12292817679558
AIA,AIA,2.0,2.0,2.0,2.0,0.0,265.0
ALB,ALB,1.0,2.3333333333333335,1.75,0.0,0.08333333333333333,84.35333333333334
AND,AND,1.2857142857142858,3.142857142857143,2.142857142857143,0.5714285714285714,0.0,202.65285714285713
ARE,ARE,1.3725490196078431,3.156862745098039,1.8235294117647058,0.39215686274509803,0.0,135.5649019607843
ARG,ARG,0.8644859813084113,2.2663551401869158,2.0093457943925235,0.14018691588785046,0.004672897196261682,117.76158878504673
ARM,ARM,1.125,2.25,1.875,0.375,0.0,99.9875
ASM,ASM,0.0,1.0,2.0,0.0,0.0,72.07
ATA,ATA,0.0,2.0,1.0,0.0,0.0,134.25
ATF,ATF,2.0,0.0,2.0,0.0,0.0,126.0
AUS,AUS,0.8145539906103286,2.1502347417840375,1.9248826291079812,0.09859154929577464,0.002347417840375587,116.77525821596245
AUT,AUT,0.9049881235154394,2.7695961995249405,1.9105304829770389,0.08471892319873317,0.0,106.23958036421219
AZE,AZE,1.3529411764705883,2.823529411764706,2.0588235294117645,0.47058823529411764,0.0,114.35588235294118
BDI,BDI,0.0,2.0,2.0,0.0,0.0,46.0
BEL,BEL,1.0486763450042698,2.6366353543979506,1.9590093936806148,0.1327924850555081,0.005123825789923143,113.84778394534587
BEN,BEN,0.3333333333333333,2.0,2.0,0.0,0.0,123.2
BFA,BFA,0.0,1.0,2.0,0.0,0.0,80.3
BGD,BGD,1.3333333333333333,2.5,2.3333333333333335,0.25,0.0,149.8025
BGR,BGR,1.0,2.506666666666667,1.8133333333333332,0.13333333333333333,0.0,111.89333333333333
BHR,BHR,0.8,2.4,1.8,0.6,0.0,145.32999999999998
BHS,BHS,2.0,5.0,2.0,0.0,0.0,50.85
BIH,BIH,1.0769230769230769,2.230769230769231,1.6153846153846154,0.0,0.0,110.76538461538462
BLR,BLR,1.0384615384615385,3.1153846153846154,1.5769230769230769,0.038461538461538464,0.0,103.31884615384615
BOL,BOL,1.0,2.0,1.8,0.0,0.0,115.0
BRA,BRA,1.0260791366906474,2.4626798561151078,2.0008992805755397,0.1767086330935252,0.01079136690647482,111.00533723021583
BRB,BRB,0.0,2.0,1.0,0.0,0.0,95.0
BWA,BWA,1.0,2.0,2.0,1.0,0.0,118.5
CAF,CAF,0.4,2.4,1.4,0.0,0.0,79.664
CHE,CHE,1.0242774566473989,2.608092485549133,1.93757225433526,0.16473988439306358,0.005202312138728324,121.83013294797688
CHL,CHL,1.0307692307692307,2.1846153846153844,1.9538461538461538,0.18461538461538463,0.0,118.89076923076922
CHN,CHN,0.8058058058058059,1.8388388388388388,1.88988988988989,0.13313313313313313,0.002002002002002002,110.53893893893893
CIV,CIV,0.3333333333333333,3.5,1.8333333333333333,0.0,0.0,119.91666666666667
CMR,CMR,1.4,2.8,2.0,0.1,0.0,88.327
CN,CN,1.236903831118061,2.7404222048475373,1.959343236903831,0.0985144644253323,0.007818608287724784,108.68844409695073
COL,COL,0.7887323943661971,1.7746478873239437,2.084507042253521,0.07042253521126761,0.014084507042253521,121.19802816901408
COM,COM,0.5,0.5,2.0,1.5,0.0,165.305
CPV,CPV,1.6666666666666667,4.416666666666667,1.7916666666666667,0.0,0.0,91.69625
CRI,CRI,0.7894736842105263,1.5263157894736843,1.894736842105263,0.05263157894736842,0.0,102.20894736842105
CUB,CUB,0.875,1.75,1.625,0.0,0.125,99.36625
CYM,CYM,1.0,3.0,2.0,0.0,0.0,40.5
CYP,CYP,1.1176470588235294,2.3137254901960786,1.5490196078431373,0.0784313725490196,0.0,98.62627450980392
CZE,CZE,0.7953216374269005,2.6666666666666665,1.8245614035087718,0.07017543859649122,0.011695906432748537,111.33777777777777
DEU,DEU,0.9790037052284891,2.5597639632221765,1.880472073555647,0.06545903664059284,0.002470152326060107,104.39675586661178
DJI,DJI,0.0,1.0,2.0,2.0,0.0,273.0
DMA,DMA,1.0,3.0,2.0,0.0,0.0,105.3
DNK,DNK,1.0482758620689656,2.9655172413793105,1.9333333333333333,0.21149425287356322,0.009195402298850575,117.58280459770114
DOM,DOM,1.0,3.2142857142857144,1.9285714285714286,0.5714285714285714,0.0,127.82428571428571
DZA,DZA,1.1262135922330097,2.9611650485436893,1.6310679611650485,0.10679611650485436,0.0,112.53611650485436
ECU,ECU,0.9259259259259259,2.4814814814814814,1.8888888888888888,0.2222222222222222,0.0,129.0511111111111
EGY,EGY,1.4375,2.8125,1.53125,0.1875,0.0,117.6609375
ESP,ESP,0.8293650793650794,2.246965452847806,1.9391923436041083,0.16479925303454715,0.014705882352941176,116.99546335200748
EST,EST,1.2409638554216869,3.4578313253012047,1.9156626506024097,0.18072289156626506,0.012048192771084338,114.06939759036145
ETH,ETH,1.3333333333333333,3.3333333333333335,2.0,0.0,0.0,101.25999999999999
FIN,FIN,1.1901565995525727,2.9507829977628637,1.854586129753915,0.17002237136465326,0.015659955257270694,104.03263982102908
FJI,FJI,0.0,3.0,2.0,2.0,0.0,135.33
FRA,FRA,0.9726356216994719,2.5364378300528085,1.9482477196351415,0.11627460393662986,0.007393182909265482,109.61727604416706
FRO,FRO,3.6,8.4,3.0,0.0,0.0,155.2
GAB,GAB,0.5,2.0,1.5,0.25,0.0,143.375
GBR,GBR,1.3436392118064144,3.4458735262593785,1.914667326242889,0.1033061258141644,0.007585126556187649,96.02205787781351
GEO,GEO,1.6818181818181819,3.590909090909091,1.9545454545454546,0.18181818181818182,0.0,169.01590909090908
GGY,GGY,1.3333333333333333,1.0,1.6666666666666667,0.0,0.0,100.26666666666667
GHA,GHA,1.75,4.0,2.0,0.0,0.0,126.45
GIB,GIB,0.8333333333333334,2.3333333333333335,2.0555555555555554,0.16666666666666666,0.05555555555555555,150.4022222222222
GLP,GLP,1.0,2.0,3.0,0.0,0.0,140.0
GNB,GNB,2.2222222222222223,4.888888888888889,1.2222222222222223,0.0,0.0,83.16444444444444
GRC,GRC,1.296875,2.796875,1.6875,0.0625,0.0078125,109.962734375
GTM,GTM,0.0,1.75,2.0,0.25,0.0,75.0
GUY,GUY,1.0,2.0,1.0,0.0,0.0,120.0
HKG,HKG,0.3448275862068966,1.793103448275862,1.9655172413793103,0.0,0.0,128.13275862068966
HND,HND,0.0,1.0,2.0,0.0,0.0,79.0
HRV,HRV,1.05,2.85,1.84,0.16,0.0,111.02420000000001
HUN,HUN,0.9695652173913043,2.739130434782609,1.873913043478261,0.14782608695652175,0.008695652173913044,113.17865217391305
IDN,IDN,0.8857142857142857,2.4,1.8285714285714285,0.14285714285714285,0.0,116.6257142857143
IMN,IMN,1.0,3.0,2.0,0.5,0.0,117.44999999999999
IND,IND,0.7631578947368421,2.348684210526316,1.894736842105263,0.29605263157894735,0.013157894736842105,113.60815789473683
IRL,IRL,1.4485925925925927,3.6968888888888887,1.9466666666666668,0.09333333333333334,0.0071111111111111115,98.19217185185185
IRN,IRN,1.0843373493975903,2.8433734939759034,1.891566265060241,0.1686746987951807,0.0,127.98867469879518
IRQ,IRQ,0.8571428571428571,2.5,1.5,0.14285714285714285,0.0,106.95714285714287
ISL,ISL,0.43859649122807015,3.8947368421052633,1.8771929824561404,0.05263157894736842,0.0,111.5677192982456
ISR,ISR,0.7817638266068759,1.7922272047832586,1.9192825112107623,0.09566517189835576,0.0014947683109118087,110.69581464872945
ITA,ITA,0.9599044078597982,2.312002124269782,1.9607010090281465,0.1210833775889538,0.004248539564524694,113.94820764737122
JAM,JAM,1.0,3.5,2.0,0.3333333333333333,0.0,105.78500000000001
JEY,JEY,1.125,2.375,2.125,0.25,0.0,139.25125
JOR,JOR,1.0952380952380953,1.9523809523809523,1.5238095238095237,0.3333333333333333,0.0,98.77619047619048
JPN,JPN,0.7208121827411168,2.197969543147208,1.736040609137056,0.17766497461928935,0.01015228426395939,121.24035532994922
KAZ,KAZ,1.1578947368421053,2.263157894736842,1.5789473684210527,0.21052631578947367,0.0,143.4921052631579
KEN,KEN,1.0,2.8333333333333335,2.0,0.5,0.0,134.1966666666667
KHM,KHM,0.0,4.0,2.0,0.0,0.0,99.0
KIR,KIR,1.0,3.0,1.0,0.0,0.0,108.0
KNA,KNA,0.5,1.5,1.5,0.0,0.0,92.2
KOR,KOR,0.8872180451127819,1.5714285714285714,1.8646616541353382,0.11278195488721804,0.007518796992481203,113.2193984962406
KWT,KWT,1.0,2.375,2.125,0.0,0.0,131.32875
LAO,LAO,0.0,2.5,2.0,0.0,0.0,181.66500000000002
LBN,LBN,0.7096774193548387,2.0,1.7741935483870968,0.0967741935483871,0.0,132.2874193548387
LBY,LBY,0.75,1.25,1.125,0.125,0.0,92.75
LCA,LCA,2.0,3.0,2.0,0.0,0.0,80.75
LIE,LIE,0.6666666666666666,2.3333333333333335,2.0,0.0,0.0,102.26666666666667
LKA,LKA,1.0,3.7142857142857144,1.4285714285714286,0.0,0.0,87.75714285714285
LTU,LTU,1.2222222222222223,3.45679012345679,1.8641975308641976,0.08641975308641975,0.0,100.27345679012345
LUX,LUX,1.1254355400696865,2.602787456445993,1.9337979094076656,0.2229965156794425,0.003484320557491289,132.39337979094077
LVA,LVA,1.2,3.327272727272727,1.9090909090909092,0.12727272727272726,0.0,96.00254545454546
MAC,MAC,1.375,1.875,1.6875,0.0,0.0,101.17375
MAR,MAR,1.135135135135135,2.8725868725868726,1.8416988416988418,0.3474903474903475,0.02702702702702703,134.39552123552124
MCO,MCO,0.5,2.25,2.0,0.0,0.0,85.74
MDG,MDG,1.0,0.0,2.0,0.0,0.0,44.0
MDV,MDV,1.25,2.6666666666666665,1.8333333333333333,0.3333333333333333,0.0,124.11666666666667
MEX,MEX,0.788235294117647,1.776470588235294,1.7647058823529411,0.11764705882352941,0.0,115.9189411764706
MKD,MKD,1.1,2.6,1.3,0.2,0.1,83.94500000000001
MLI,MLI,0.0,1.0,2.0,0.0,0.0,89.0
MLT,MLT,1.0,2.5555555555555554,1.7777777777777777,0.05555555555555555,0.0,102.79055555555556
MMR,MMR,1.0,1.0,2.0,0.0,0.0,145.0
MNE,MNE,1.4,3.2,1.6,0.4,0.0,110.3
MOZ,MOZ,1.2238805970149254,2.8507462686567164,1.8059701492537314,0.05970149253731343,0.0,112.18656716417911
MRT,MRT,2.0,4.0,2.0,0.0,0.0,97.65
MUS,MUS,0.42857142857142855,2.857142857142857,1.7142857142857142,0.14285714285714285,0.0,96.22428571428573
MWI,MWI,0.5,1.0,2.0,0.0,0.0,83.0
MYS,MYS,0.9285714285714286,2.142857142857143,1.8571428571428572,0.17857142857142858,0.0,83.49571428571429
MYT,MYT,2.0,1.5,2.0,1.0,0.0,177.75
NAM,NAM,2.0,2.0,2.0,0.0,0.0,121.61
NCL,NCL,1.0,3.0,2.0,0.0,0.0,175.5
NGA,NGA,1.2352941176470589,3.2058823529411766,1.7058823529411764,0.2647058823529412,0.08823529411764706,115.12617647058823
NIC,NIC,0.0,3.0,2.0,1.0,0.0,139.0
NLD,NLD,1.0104562737642586,2.668250950570342,1.8740494296577948,0.13307984790874525,0.004752851711026616,108.08548003802282
NOR,NOR,1.0955518945634266,3.238879736408567,1.9538714991762767,0.22075782537067545,0.004942339373970346,121.63301482701813
NPL,NPL,2.0,1.0,2.0,0.0,0.0,85.0
NZL,NZL,0.6486486486486487,2.081081081081081,1.837837837837838,0.06756756756756757,0.013513513513513514,108.68256756756757
OMN,OMN,1.5,3.0555555555555554,1.8333333333333333,0.4444444444444444,0.0,99.22666666666666
PAK,PAK,1.2857142857142858,3.357142857142857,1.7857142857142858,0.2857142857142857,0.0,129.82785714285714
PAN,PAN,1.4444444444444444,2.6666666666666665,2.111111111111111,0.0,0.0,110.16111111111111
PER,PER,0.5862068965517241,2.206896551724138,1.7241379310344827,0.034482758620689655,0.0,121.77620689655173
PHL,PHL,0.65,2.1,2.125,0.05,0.0,154.35575
PLW,PLW,2.0,5.0,2.0,0.0,0.0,136.29
POL,POL,1.1556039173014145,2.9162132752992385,1.9151251360174102,0.20348204570184983,0.011969532100108813,107.09914036996736
PRI,PRI,0.25,1.5833333333333333,1.5,0.0,0.08333333333333333,84.205
PRT,PRT,0.7389997941963367,2.1762914179872404,1.7726075324140769,0.07137858642407278,0.008993620086437538,92.04148322700144
PRY,PRY,0.75,0.75,2.0,0.0,0.0,112.6
PYF,PYF,1.0,2.0,2.0,0.0,0.0,144.0
QAT,QAT,1.1333333333333333,2.7333333333333334,2.1333333333333333,0.2,0.0,144.60466666666667
ROU,ROU,1.15,3.38,1.918,0.178,0.02,115.03272
RUS,RUS,1.0664556962025316,2.8259493670886076,1.8718354430379747,0.18670886075949367,0.0031645569620253164,118.7004746835443
RWA,RWA,2.0,4.5,1.5,0.0,0.0,83.265
SAU,SAU,1.6875,4.104166666666667,1.8125,0.22916666666666666,0.0,124.89145833333333
SDN,SDN,2.0,1.0,2.0,0.0,0.0,99.0
SEN,SEN,2.727272727272727,6.090909090909091,1.7272727272727273,0.36363636363636365,0.0,126.06181818181818
SGP,SGP,0.717948717948718,1.7692307692307692,1.8974358974358974,0.02564102564102564,0.0,97.97102564102563
SLE,SLE,2.0,5.0,2.0,0.0,0.0,121.43
SLV,SLV,0.5,1.0,2.5,0.0,0.0,148.85
SMR,SMR,0.0,3.0,2.0,0.0,0.0,88.2
SRB,SRB,0.3069306930693069,2.4752475247524752,1.3663366336633664,0.0297029702970297,0.0,99.430099009901
STP,STP,0.0,1.5,2.0,0.0,0.0,117.0
SUR,SUR,1.4,2.6,2.0,0.4,0.0,93.0
SVK,SVK,1.0461538461538462,2.6153846153846154,1.8615384615384616,0.13846153846153847,0.015384615384615385,107.37415384615385
SVN,SVN,0.9122807017543859,2.175438596491228,1.6140350877192982,0.2982456140350877,0.0,116.42315789473685
SWE,SWE,1.1376953125,2.8017578125,1.8359375,0.166015625,0.005859375,112.897001953125
SYC,SYC,0.5,1.5,1.5,0.0,0.0,132.125
SYR,SYR,1.0,1.6666666666666667,1.6666666666666667,0.0,0.0,98.33333333333333
TGO,TGO,2.5,5.5,2.0,0.0,0.0,105.75
THA,THA,0.4576271186440678,1.6440677966101696,1.9661016949152543,0.2033898305084746,0.0,117.54254237288136
TJK,TJK,0.2222222222222222,2.7777777777777777,2.0,0.0,0.0,137.23333333333332
TMP,TMP,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.0,139.0666666666667
TUN,TUN,1.0,2.871794871794872,1.8974358974358974,0.20512820512820512,0.0,106.40923076923077
TUR,TUR,0.8911290322580645,2.254032258064516,1.8225806451612903,0.12096774193548387,0.0,112.11995967741936
TWN,TWN,1.1372549019607843,1.7450980392156863,1.9215686274509804,0.0392156862745098,0.0,126.37627450980392
TZA,TZA,1.2,1.4,1.4,0.6,0.0,90.9
UGA,UGA,1.0,1.0,1.5,0.0,0.0,84.5
UKR,UKR,1.0294117647058822,2.573529411764706,1.8529411764705883,0.11764705882352941,0.0,93.23926470588236
UMI,UMI,1.0,2.0,2.0,0.0,0.0,200.0
URY,URY,0.75,2.28125,2.09375,0.125,0.0,130.9121875
USA,USA,0.855030996661898,1.9175011921793037,1.8836432999523127,0.1726275631855031,0.002861230329041488,122.9922508345255
UZB,UZB,1.0,2.25,1.5,0.0,0.0,96.9925
VEN,VEN,0.8461538461538461,2.576923076923077,1.9230769230769231,0.11538461538461539,0.038461538461538464,106.70807692307692
VGB,VGB,1.0,2.0,2.0,0.0,0.0,100.5
VNM,VNM,0.625,2.0,2.125,0.0,0.0,123.2675
ZAF,ZAF,0.9,2.0375,1.7875,0.2125,0.0,111.14775
ZMB,ZMB,1.5,2.5,2.0,1.0,0.0,101.88499999999999
ZWE,ZWE,0.25,2.25,2.0,0.0,0.0,85.3075
